title,address,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,categoryName,cid,city,claimThisBusiness,countryCode,imageUrl,imagesCount,isAdvertisement,location/lat,location/lng,neighborhood,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,permanentlyClosed,phone,phoneUnformatted,postalCode,rank,reviewsCount,reviewsDistribution/fiveStar,reviewsDistribution/fourStar,reviewsDistribution/oneStar,reviewsDistribution/threeStar,reviewsDistribution/twoStar,state,street,subTitle,totalScore,url,website
Metro Stationery & Xerox,"01, manjur tower, old dena bank, Danilimda, Ahmedabad, Gujarat 380028, India",Pen store,,,,,,,,,,Pen store,4.45E+18,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/p/AF1QipOjqSimK3AuUxPgLsLBRQgH07F0oN_UC3o_NPvs=w427-h240-k-no,9,FALSE,22.9961008,72.5825375,"old dena bank, Danilimda",Monday,10 AM to 10 PM,Tuesday,10 AM to 10 PM,Wednesday,10 AM to 10 PM,Thursday,10 AM to 10 PM,Friday,10 AM to 10 PM,Saturday,10 AM to 10 PM,Sunday,10 AM to 10 PM,FALSE,+91 84012 00257,9.18E+11,380028,1,13,,,,,,Gujarat,"01, manjur tower",,5,https://www.google.com/maps/search/?api=1&query=Metro%20Stationery%20%26%20Xerox&query_place_id=ChIJ632JEr2FXjkRshNXHGbfyD0,
gujarat xerox,"dhanlaxmi avenue, Nirant Cross Rd, near jawahar chowk, Rambagh, Maninagar, Ahmedabad, Gujarat 380013, India",Copy shop,,,,,,,,,,Copy shop,1.30E+19,Ahmedabad,TRUE,IN,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=A1IwW6uUPioSFVOXLXPcfw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=33.17099&pitch=0&thumbfov=100,1,FALSE,22.9959973,72.597491,"Rambagh, Maninagar",Monday,9 AM to 10 PM,Tuesday,9 AM to 10 PM,Wednesday,9 AM to 10 PM,Thursday,9 AM to 10 PM,Friday,9 AM to 10 PM,Saturday,9 AM to 10 PM,Sunday,9 AM to 10 PM,FALSE,+91 93758 25148,9.19E+11,380013,2,10,,,,,,Gujarat,"dhanlaxmi avenue, Nirant Cross Rd, near jawahar chowk",ગુજરાત ઝેરોક્સ,2.9,https://www.google.com/maps/search/?api=1&query=gujarat%20xerox&query_place_id=ChIJ1yPB-OmFXjkR6F_aSjyZFLQ,https://www.xerox.com/
Sonal Xerox,"Mandir Complex, Gf2, Bhairavnath Rd, Opposite Jai Hind School, Panchvati Society, Daxini Society, Maninagar, Ahmedabad, Gujarat 380008, India",Digital printing service,,,,,,,,,,Digital printing service,8.57E+18,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/p/AF1QipMOEgOWrFEIiq5A-og7PE34fbSdoWyrqB88ujHH=w408-h272-k-no,12,FALSE,22.9949022,72.6088671,"Panchvati Society, Daxini Society, Maninagar",Monday,10 AM to 8:30 PM,Tuesday,10 AM to 8:30 PM,Wednesday,10 AM to 8:30 PM,Thursday,10 AM to 8:30 PM,Friday,10 AM to 8:30 PM,Saturday,10 AM to 8:30 PM,Sunday,Closed,FALSE,+91 89056 02840,9.19E+11,380008,3,269,,,,,,Gujarat,"Mandir Complex, Gf2, Bhairavnath Rd, Opposite Jai Hind School",સોનલ ઝેરોક્સ,4.2,https://www.google.com/maps/search/?api=1&query=Sonal%20Xerox&query_place_id=ChIJP792K-eFXjkRW3AXG9zy_XY,http://www.sonalxerox.com/
Hello Xerox,"2J22+52H, Rambaug Kankariya Rd, Prankunj Society, Krishnakunj Society, Maninagar, Ahmedabad, Gujarat 380008, India",Copy shop,,,,,,,,,,Copy shop,1.77E+19,Ahmedabad,TRUE,IN,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZJkkG0Dar194eB6XrP0agQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=239.67068&pitch=0&thumbfov=100,1,FALSE,23.0004308,72.6001069,"Prankunj Society, Krishnakunj Society, Maninagar",Monday,9 AM to 8:30 PM,Tuesday,9 AM to 8:30 PM,Wednesday,9 AM to 8:30 PM,Thursday,9 AM to 8:30 PM,Friday,9 AM to 8:30 PM,Saturday,9 AM to 8:30 PM,Sunday,9:30 AM to 1 PM,FALSE,+91 94279 60337,9.19E+11,380008,4,21,,,,,,Gujarat,"2J22+52H, Rambaug Kankariya Rd",હેલો ઝેરોક્ષ,4.4,https://www.google.com/maps/search/?api=1&query=Hello%20Xerox&query_place_id=ChIJAQAQp8OFXjkRfSWiF_JRl_U,
Shree Saikrupa Xerox Copy Center,"Shop No. 4, Krishnanand Complex, Near Prince Pavbhaji, Jawahar Chowk Char Rastha, Bhairavnath Rd, opposite Soham Plaza, Maninagar, Ahmedabad, Gujarat 380008, India",Copy shop,,,,,,,,,,Copy shop,2.36E+18,Ahmedabad,TRUE,IN,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aksH15aYAJLBiKSGezfyEQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=338.1387&pitch=0&thumbfov=100,1,FALSE,22.995346,72.604812,"Balvatika, Maninagar",Monday,9:30 AM to 9:30 PM,Tuesday,9:30 AM to 9:30 PM,Wednesday,9:30 AM to 9:30 PM,Thursday,9:30 AM to 9:30 PM,Friday,9:30 AM to 9:30 PM,Saturday,9:30 AM to 9:30 PM,Sunday,9:30 AM to 9:30 PM,FALSE,+91 93740 61034,9.19E+11,380008,5,17,,,,,,Gujarat,"Shop No. 4, Krishnanand Complex, Near Prince Pavbhaji, Jawahar Chowk Char Rastha, Bhairavnath Rd, opposite Soham Plaza",શ્રી સાઇકૃપા ઝેરોક્સ કોપી સેન્ટર,4.3,https://www.google.com/maps/search/?api=1&query=Shree%20Saikrupa%20Xerox%20Copy%20Center&query_place_id=ChIJn12tuOeFXjkRe2lhRY7sziA,
Harsiddhi Xerox,"Rathod Park Society, Police station, near by Danilimada, Danilimda, Ahmedabad, Gujarat 380028, India",Stationery store,,,,,,,,,,Stationery store,7.24E+18,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqIo_gQAX1m13bOwlXhDyE8y5OGg2UaKdRyvh-eSDhVlBJ9aSIWQ_EGsx0Qqmdq7KvVD9Gq4fl0GTCEhgIV42wbNmW5-oopY05nPAhOqcxirTs0RuQDSJcF6Ec8qNFDMWXEmH_9Nw=w408-h544-k-no,2,FALSE,22.9986109,72.5815281,Danilimda,Monday,9 AM to 9 PM,Tuesday,9 AM to 9 PM,Wednesday,9 AM to 9 PM,Thursday,9 AM to 9 PM,Friday,9 AM to 9 PM,Saturday,9 AM to 9 PM,Sunday,9 AM to 4 PM,FALSE,+91 91577 05135,9.19E+11,380028,6,24,,,,,,Gujarat,"Rathod Park Society, Police station, near by Danilimada",,5,https://www.google.com/maps/search/?api=1&query=Harsiddhi%20Xerox&query_place_id=ChIJnxYp01qFXjkRaK5FpLj3dGQ,
Janta Xerox - Digital Printing,"2, Anand Shopping Center, BRTS, Bhairavnath Rd, opp. Bhairavnath, Rambagh, Maninagar, Ahmedabad, Gujarat 380028, India",Digital printing service,Bookbinder,Graphic designer,Invitation printing service,Lamination service,Screen printing shop,Stationery store,,,,Digital printing service,6.42E+16,Ahmedabad,FALSE,IN,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=t-03ttNoCFkZ847JPFnSbw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=11.762504&pitch=0&thumbfov=100,1,FALSE,22.9955498,72.5994931,"Rambagh, Maninagar",Monday,9:30 AM to 9:30 PM,Tuesday,9:30 AM to 9:30 PM,Wednesday,9:30 AM to 9:30 PM,Thursday,9:30 AM to 9:30 PM,Friday,9:30 AM to 9:30 PM,Saturday,9:30 AM to 9:30 PM,Sunday,10 AM to 3 PM,FALSE,+91 98983 97056,9.20E+11,380028,7,73,,,,,,Gujarat,"2, Anand Shopping Center, BRTS, Bhairavnath Rd, opp. Bhairavnath",જનતા ઝેરોક્ષ,4.2,https://www.google.com/maps/search/?api=1&query=Janta%20Xerox%20-%20Digital%20Printing&query_place_id=ChIJ8_qnyIqEXjkR8Xtmhlvw4wA,
SAIBABA Xerox,"2, Sukunsidhi Complex, Balvatika, Lg Corner, Maninagar, Ahmedabad, Gujarat 380008, India",Store,General store,,,,,,,,,Store,1.54E+19,Ahmedabad,TRUE,IN,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nozVDJp18kjgqp_HWnGC35j6X6z57bY-BLr8Kf_MQv8NECTsN3qOc_ArLY60MtybWOFEmLz_2cvybcp4Db4EeGydNj0EQazDXEdD-FrNxa_gUrGetyGOsIG8C-BqasY-eReL2u7BQ=w408-h306-k-no,4,FALSE,23.0004512,72.6074443,"Balvatika, Lg Corner, Maninagar",Monday,9 AM to 9 PM,Tuesday,9 AM to 9 PM,Wednesday,9 AM to 9 PM,Thursday,9 AM to 9 PM,Friday,9 AM to 9 PM,Saturday,9 AM to 9 PM,Sunday,9 AM to 9 PM,FALSE,+91 94264 60682,9.19E+11,380008,8,63,,,,,,Gujarat,"2, Sukunsidhi Complex",,4.6,https://www.google.com/maps/search/?api=1&query=SAIBABA%20Xerox&query_place_id=ChIJnywTS9yFXjkR38N1Z11IpdU,
Radhey Xerox and Stationary - Best Digital Printing Shop in Maninagar | Lamination Remove & Hard Binding Shop in Maninagar,"No. 1, Mahalaxmi Market, 18, Maninagar Cross Rd, opp. Gandhi Complex, Balvatika, Maninagar, Ahmedabad, Gujarat 380008, India",Digital printing service,,,,,,,,,,Digital printing service,3.35E+18,Ahmedabad,FALSE,IN,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqfhXEXjTOZ3er50e9UxHuGY49tDC9wthhCKDcu6Mtp_8QqhWzCJpSENvCyPoNDkAlc4yTpeCsbZN3OdtPZGuU1lq9pJqzSDs9rXthpyGxI3jEvQSAyU0qDDBoxz2rGOCLmH4RSoQ=w408-h408-k-no,7,FALSE,22.9977189,72.6080147,"Balvatika, Maninagar",Monday,10 AM to 9 PM,Tuesday,10 AM to 9 PM,Wednesday,10 AM to 9 PM,Thursday,10 AM to 9 PM,Friday,10 AM to 9 PM,Saturday,10 AM to 9 PM,Sunday,10 AM to 2 PM,FALSE,+91 98240 00974,9.20E+11,380008,9,30,,,,,,Gujarat,"No. 1, Mahalaxmi Market, 18, Maninagar Cross Rd, opp. Gandhi Complex",,3.7,https://www.google.com/maps/search/?api=1&query=Radhey%20Xerox%20and%20Stationary%20-%20Best%20Digital%20Printing%20Shop%20in%20Maninagar%20%7C%20Lamination%20Remove%20%26%20Hard%20Binding%20Shop%20in%20Maninagar&query_place_id=ChIJ_____8KFXjkRr9YZkNloji4,
Shivam Xerox Copy Centre,"3, Krishnanand Complex, Near Prince Bhaji Pav, Opp.Soham Plaza, Jawhar Chowk Cross Road, Bhairavnath Rd, Maninagar, Ahmedabad, Gujarat 380008, India",Copy shop,,,,,,,,,,Copy shop,1.03E+19,Ahmedabad,TRUE,IN,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noWf5y1zZUrJF9aU6BVpQDLZp_4xtGeXsdMPo8MOgM2pa7yXWZGO3ZvkLfd6aAvqFpD0gaG1bxRwUXzz1g5UPmDZxSUvZrWEjydb4lCP0iHCPCYrr2i97uWgE1dpZm-l9CQdtqj=w408-h306-k-no,7,FALSE,22.9949482,72.6048227,"Radhavallabh Colony, Maninagar",Monday,10 AM to 10 PM,Tuesday,10 AM to 10 PM,Wednesday,10 AM to 10 PM,Thursday,10 AM to 10 PM,Friday,10 AM to 10 PM,Saturday,10 AM to 10 PM,Sunday,10 AM to 4 PM,FALSE,+91 98798 15783,9.20E+11,380008,10,14,,,,,,Gujarat,"3, Krishnanand Complex, Near Prince Bhaji Pav, Opp.Soham Plaza, Jawhar Chowk Cross Road, Bhairavnath Rd",શિવમ ઝેરોક્સ કોપી સેન્ટર,3.7,https://www.google.com/maps/search/?api=1&query=Shivam%20Xerox%20Copy%20Centre&query_place_id=ChIJEQlNx-eFXjkRlvDMuuqbI48,
